             # klen              E(eV)
     0.322436642    -2.239780664
     0.336455626    -2.339876382
     0.350474611    -2.399191762
     0.364493595    -2.395611503
     0.378512579    -2.456377502
     0.392531564    -2.163326545
     0.406550548    -1.984711702
     0.420569532    -1.974677316
     0.420569532    -1.974677316
     0.432710450    -1.949174804
     0.444851368    -2.083179831
     0.456992286    -2.129074786
     0.469133204    -2.346621461
     0.481274122    -2.382357321
     0.493415040    -2.328048112
     0.505555958    -2.318391969
     0.517696876    -2.366218701
     0.529837794    -2.413793431
     0.541978712    -2.396456558
     0.554119630    -2.375865800
     0.566260548    -2.357507272
     0.578401466    -2.329396658
     0.590542384    -2.330511808
     0.602683302    -2.320545115
     0.614824220    -2.312949415
     0.626965139    -2.307481008
     0.639106057    -2.303865108
     0.651246975    -2.301832317
     0.663387893    -2.301180039
  
     0.000000000    -2.077559830
     0.007009492    -2.112873709
     0.014018985    -2.151031255
     0.021028477    -2.189717716
     0.028037969    -2.228897230
     0.035047461    -2.268533116
     0.042056954    -2.295379614
     0.049066446    -2.347168368
     0.056075938    -2.290732196
     0.063085430    -2.287859730
     0.070094923    -2.284664140
     0.077104415    -2.281166948
     0.084113907    -2.277400880
     0.091123400    -2.273416610
     0.098132892    -2.269293739
     0.105142384    -2.265161254
     0.112151876    -2.275513854
     0.119161369    -2.257921795
     0.126170861    -2.255965867
     0.133180353    -2.256794849
     0.140189845    -2.261599254
     0.140189845    -2.261599254
     0.154208830    -2.291903873
     0.168227814    -2.335619230
     0.182246798    -2.186045794
     0.196265783    -2.174828317
     0.210284767    -2.170493002
     0.224303751    -2.172832458
     0.238322736    -2.181582243
     0.252341720    -2.196438374
     0.266360704    -2.155568959
     0.280379689    -2.096920513
     0.294398673    -2.157954223
     0.308417657    -2.035792097
     0.322436642    -2.024275302
     0.336455626    -2.339761513
     0.350474611    -2.399086228
     0.364493595    -2.348144995
     0.378512579    -2.254949213
     0.392531564    -2.163209129
     0.406550548    -1.896471108
     0.420569532    -1.974669827
     0.420569532    -1.974669827
     0.432710450    -1.931559064
     0.444851368    -2.064971268
     0.456992286    -2.111627449
     0.469133204    -2.175761719
     0.481274122    -2.378984994
     0.493415040    -2.324406632
     0.505555958    -2.303474099
     0.517696876    -2.351891283
     0.529837794    -2.400101479
     0.541978712    -2.396122508
     0.554119630    -2.375543145
